gold_source_file,chunk_config_id,chunk_size,chunk_overlap,method,k,n_queries,success_at_k,mrr_at_k,ndcg_at_k
undiksha_ac_id_tentang_undiksha.jsonl,C2,512,64,BGE_M3_FAISS,5,8,0.625,0.5625,0.5788662191964322
undiksha_ac_id_tentang_undiksha.jsonl,C2,512,64,BGE_M3_FAISS,10,8,0.875,0.5989583333333333,0.6628252271831511
undiksha_ac_id_tentang_undiksha.jsonl,C1,256,32,BGE_M3_FAISS,10,8,0.75,0.6875,0.7038662191964322
undiksha_ac_id_tentang_undiksha.jsonl,C3,768,96,BGE_M3_FAISS,10,8,0.75,0.6875,0.7038662191964322
undiksha_ac_id_tentang_undiksha.jsonl,C1,256,32,BM25,10,8,0.75,0.65625,0.6788345697591741
undiksha_ac_id_tentang_undiksha.jsonl,C3,768,96,BM25,10,8,0.75,0.65625,0.6788345697591741
undiksha_ac_id_tentang_undiksha.jsonl,C1,256,32,HYBRID_RRF,10,8,0.75,0.6041666666666666,0.6413662191964322
undiksha_ac_id_tentang_undiksha.jsonl,C3,768,96,HYBRID_RRF,10,8,0.75,0.6041666666666666,0.6413662191964322
undiksha_ac_id_tentang_undiksha.jsonl,C2,512,64,BM25,10,8,0.75,0.59375,0.6327007889556063
undiksha_ac_id_tentang_undiksha.jsonl,C2,512,64,HYBRID_RRF,10,8,0.75,0.5,0.5625
upttik_undiksha_ac_id.jsonl,C1,256,32,BGE_M3_FAISS,5,139,0.60431654676259,0.47613908872901683,0.5082514946911583
upttik_undiksha_ac_id.jsonl,C2,512,64,BGE_M3_FAISS,5,139,0.5899280575539568,0.48309352517985615,0.5098368035548352
upttik_undiksha_ac_id.jsonl,C3,768,96,HYBRID_RRF,5,139,0.5899280575539568,0.44928057553956835,0.484679053761941
upttik_undiksha_ac_id.jsonl,C3,768,96,BGE_M3_FAISS,5,139,0.5827338129496403,0.4760191846522782,0.5030560649548382
upttik_undiksha_ac_id.jsonl,C2,512,64,BM25,5,139,0.5827338129496403,0.47206235011990405,0.4996126839397686
upttik_undiksha_ac_id.jsonl,C2,512,64,HYBRID_RRF,5,139,0.5827338129496403,0.40779376498800957,0.45198075931089293
upttik_undiksha_ac_id.jsonl,C1,256,32,BM25,5,139,0.5755395683453237,0.460431654676259,0.4893627551297429
upttik_undiksha_ac_id.jsonl,C3,768,96,BM25,5,139,0.5683453237410072,0.4693045563549161,0.4944599625018647
upttik_undiksha_ac_id.jsonl,C1,256,32,HYBRID_RRF,5,139,0.5683453237410072,0.3618705035971223,0.41375485723705463
upttik_undiksha_ac_id.jsonl,C3,768,96,HYBRID_RRF,10,139,0.6690647482014388,0.4604858969966884,0.5109335826876861
upttik_undiksha_ac_id.jsonl,C2,512,64,HYBRID_RRF,10,139,0.6690647482014388,0.4195900422519127,0.4801863412565681
upttik_undiksha_ac_id.jsonl,C3,768,96,BGE_M3_FAISS,10,139,0.6546762589928058,0.48542879981728904,0.5261103289711861
upttik_undiksha_ac_id.jsonl,C1,256,32,BGE_M3_FAISS,10,139,0.6546762589928058,0.48348178599977165,0.5251454292504912
upttik_undiksha_ac_id.jsonl,C2,512,64,BM25,10,139,0.6474820143884892,0.4799531803128926,0.5198118625160948
upttik_undiksha_ac_id.jsonl,C3,768,96,BM25,10,139,0.6474820143884892,0.4789768185451639,0.5191474674104581
upttik_undiksha_ac_id.jsonl,C1,256,32,HYBRID_RRF,10,139,0.6474820143884892,0.3728959689391344,0.43981945774216774
upttik_undiksha_ac_id.jsonl,C2,512,64,BGE_M3_FAISS,10,139,0.6402877697841727,0.4894484412470024,0.5257399589990162
upttik_undiksha_ac_id.jsonl,C1,256,32,BM25,10,139,0.6187050359712231,0.46636690647482015,0.5034794176530923
